Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
369,"W Tobler","Three presentations on geographical analysis and modeling",1993,"","Citeseer","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.33.5402&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=9325369329110424213&as_sdt=2005&sciodt=2007&hl=en",8,"2021-12-14 16:19:11","PDF","","","",,,,,369,13.18,369,1,28,"Five of the most important and useful theoretical models in the study of geography are, in historical order: the Von Thunen model of agricultural land use; Weber's model of industrial location; Walter Christaller's central place formulation; the gravity model of spatial …","https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.33.5402&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:lRrzNP9daoEJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
217,"Q Yang, J Snyder, W Tobler","Map projection transformation: principles and applications",1999,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=kWnQ4_TXXrkC&oi=fnd&pg=PR9&dq=%22w*+tobler%22&ots=ex5L_lQvvX&sig=RhKpNo56DZhel18fHwKkAkFV1GI","https://scholar.google.com/scholar?cites=15566940558969663318&as_sdt=2005&sciodt=2007&hl=en",13,"2021-12-14 16:19:11","BOOK","","","",,,,,217,9.86,72,3,22,"With the advance of science and technology, there have been breakthroughs in the field of classical research and methods of map projection. Among these, computer science and space science have had the greater influence upon the field of research and the formation of …","","https://scholar.google.com/scholar?q=related:Vu8BEfbhCNgJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
173,"WR Tobler","Map transformations of geographic space",1961,"","digital.lib.washington.edu","https://digital.lib.washington.edu/researchworks/bitstream/handle/1773/5629/6104011.pdf?sequence=1","https://scholar.google.com/scholar?cites=9601877258764462132&as_sdt=2005&sciodt=2007&hl=en",18,"2021-12-14 16:19:11","PDF","","","",,,,,173,2.88,173,1,60,"Mr. Waldo Rudolph Tobler's thesis is an important contribution to the field of geographical cartography. Maps and cartographic representations have been distinctive and much used descriptive and analytical tools of the geography profession. A major and continuing …","https://digital.lib.washington.edu/researchworks/bitstream/handle/1773/5629/6104011.pdf?sequence=1","https://scholar.google.com/scholar?q=related:NKiOcX64QIUJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
155,"WR Tobler","A continuous transformation useful for districting",1973,"","deepblue.lib.umich.edu","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/71945/j.1749-6632.1973.tb41401.x.pdf?sequence=1","https://scholar.google.com/scholar?cites=12144314810317094749&as_sdt=2005&sciodt=2007&hl=en",21,"2021-12-14 16:19:11","PDF","","","",,,,,155,3.23,155,1,48,"An analytical solution to this pair of equations is not known, but an iterative finite difference method has been programmed. The basic algorithm is as follows. Consider a rectangle on the map with bounding vertices ui, vi, i= 1, 2, 3, 4. The area of this rectangle is easily …","https://deepblue.lib.umich.edu/bitstream/handle/2027.42/71945/j.1749-6632.1973.tb41401.x.pdf?sequence=1","https://scholar.google.com/scholar?q=related:XT93BfpFiagJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
182,"W Tobler","Spatial interaction patterns",1975,"","pure.iiasa.ac.at","http://pure.iiasa.ac.at/id/eprint/241/","https://scholar.google.com/scholar?cites=6498442367725873144&as_sdt=2005&sciodt=2007&hl=en",22,"2021-12-14 16:19:11","","","","",,,,,182,3.96,182,1,46,"An algebraic examination of spatial models leads to the conclusion that a convenient description of the pattern of flows implicit in a geographical interaction table is obtained by displaying a field of vectors computed from the relative net exchanges. The vector field …","http://pure.iiasa.ac.at/id/eprint/241/1/RR-75-019.pdf","https://scholar.google.com/scholar?q=related:-CemOecaL1oJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
219,"W Tobler, U Deichmann, J Gottsegen, K Maloy","The global demography project (95-6)",1995,"","escholarship.org","https://escholarship.org/uc/item/0kt69058","https://scholar.google.com/scholar?cites=18428003408859564900&as_sdt=2005&sciodt=2007&hl=en",27,"2021-12-14 16:19:11","","","","",,,,,219,8.42,55,4,26,"Demographic information is usually provided on a national basis. But we know that countries are ephemeral phenomena. As an alternate scheme one might use ecological zones rather than nation states. But there is no agreement as to what these zones should be. By way of …","https://escholarship.org/content/qt0kt69058/qt0kt69058.pdf","https://scholar.google.com/scholar?q=related:ZAvD8HZrvf8J:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
92,"W Tobler","Non-isotropic geographic modeling",1993,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.624.2703","https://scholar.google.com/scholar?cites=6406759066112803455&as_sdt=2005&sciodt=2007&hl=en",33,"2021-12-14 16:19:11","","","","",,,,,92,3.29,92,1,28,"Five of the most important and useful theoretical models in the study of geography are, in historical order: the Von Thunen model of agricultural land use; Weber's model of industrial location; Walter Christaller's central place formulation; the gravity model of spatial …","","https://scholar.google.com/scholar?q=related:f8IqGW1h6VgJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
103,"WC Yang, WE Tobler","Dissipative modal approximation of fluid transmission lines using linear friction model",1991,"","asmedigitalcollection.asme.org","https://asmedigitalcollection.asme.org/dynamicsystems/article-abstract/113/1/152/394941","https://scholar.google.com/scholar?cites=1992439675192353808&as_sdt=2005&sciodt=2007&hl=en",34,"2021-12-14 16:19:11","","","","",,,,,103,3.43,52,2,30,"For both hydraulic and pneumatic transmission lines, analytical dissipative modal approximation techniques, which take into account the frequency dependent viscosity and heat transfer effects, are developed by introducing frequency dependent damping and …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1068.9260&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:ECQ8BFSRphsJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
55,"W Tobler","Three presentations on geographical analysis and modeling: non-isotropic geographic modeling; speculations on the geometry of geography; and global …",1993,"","escholarship.org","https://escholarship.org/content/qt05r820mz/qt05r820mz.pdf","https://scholar.google.com/scholar?cites=16590729765197319667&as_sdt=2005&sciodt=2007&hl=en",44,"2021-12-14 16:19:11","PDF","","","",,,,,55,1.96,55,1,28,"Five of the most important and useful theoretical models in the study of geography are, in historical order: the Von Thunen model of agricultural land use; Weber's model of industrial location; Walter Christaller's central place formulation; the gravity model of spatial …","https://escholarship.org/content/qt05r820mz/qt05r820mz.pdf","https://scholar.google.com/scholar?q=related:8w0W69EcPuYJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
43,"WC Yang, JM Glidewell, WE Tobler, GK Chui","Dynamic modeling and analysis of automotive multi-port electronic fuel delivery system",1991,"","asmedigitalcollection.asme.org","https://asmedigitalcollection.asme.org/dynamicsystems/article-abstract/113/1/143/394928","https://scholar.google.com/scholar?cites=1299081316801465889&as_sdt=2005&sciodt=2007&hl=en",68,"2021-12-14 16:19:11","","","","",,,,,43,1.43,11,4,30,"A dynamic model of a multi-port electronic fuel injection system, capable of analyzing fast fluid transients in the fuel, is presented. The model consists of distributed parameter models for fuel lines and lumped parameter models for the fuel pump, pressure regulator and …","","https://scholar.google.com/scholar?q=related:IU5MJpNDBxIJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
35,"W Tobler","Movement mapping",2004,"","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.150.3352","https://scholar.google.com/scholar?cites=11637959259100117258&as_sdt=2005&sciodt=2007&hl=en",80,"2021-12-14 16:19:11","","","","",,,,,35,2.06,35,1,17,"Geographical movement is of crucial importance. This is because much change in the world is due to movement; the movement of people, ideas, money, energy, or material. One way of depicting and analyzing geographical movement is by way of geographical maps. A …","","https://scholar.google.com/scholar?q=related:CnkhHUlWgqEJ:scholar.google.com/&scioq=author:%22w*+tobler%22&hl=en&as_sdt=2007"
