"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TLPSUXB5","journalArticle","2004","Sui, Daniel Z.","Tobler's First Law of Geography: A Big Idea for a Small World?","Annals of the Association of American Geographers","","0004-5608","10/fk249f","https://doi.org/10.1111/j.1467-8306.2004.09402003.x","CC - La motivation de ce forum est assez simple : procéder à une évaluation exploratoire de la TFL, et ce faisant, pour réfléchir sur la nature de la recherche géographique et les aspects essentiels du monde réel d'un point de vue géographique","2004-06-01","2020-06-01 12:52:34","2021-02-12 20:50:29","2020-06-01 12:52:34","269-277","","2","94","","AAAG","Tobler's First Law of Geography","","","","","","","eng","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1111/j.1467-8306.2004.09402003.x","","C:\Users\cplume01\Zotero\storage\WCE5UY3J\j.1467-8306.2004.09402003.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53ZFSGDC","journalArticle","2004","Miller, Harvey J.","Tobler's First Law and Spatial Analysis","Annals of the Association of American Geographers","","0004-5608","10/dh39xr","https://doi.org/10.1111/j.1467-8306.2004.09402005.x","CC - Miller accepte le TFL comme une régularité raisonnable qui est généralement vraie dans le monde obervé. Avec les progrès continus de l'analyse spatiale ainsi que les avancées des systèmes et des sciences SIG, Miller pense que la TFL continuera à évoluer à mesure que les équipements évolueront pour mener des analyses détaillées des "" proches "" et des "" connexes""","2004-06-01","2020-06-01 12:58:31","2021-02-12 20:50:28","2020-06-01 12:58:31","284-289","","2","94","","","","","","","","","","en","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1111/j.1467-8306.2004.09402005.x","","C:\Users\cplume01\Zotero\storage\RWGGWBHZ\j.1467-8306.2004.09402005.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HPXNF47","journalArticle","2004","Phillips, Jonathan","Doing Justice to the Law","Annals of the Association of American Geographers","","0004-5608","10/dh39xr","https://doi.org/10.1111/j.1467-8306.2004.09402005.x","CC - Phillips observe que la TFL est souvent (mais pas toujours) vraie et pertinente pour aider les géographes physiques à comprendre comment fonctionne le système terre-surface. Selonsa propre recherche inspirée par la perspective de la dynamique non linéaire, Phillips soutient que les lois générales et les conditions locales devraient être prises en compte afin de mieux comprendre la complexité des systèmes de la surface terrestre. Il apporte également un changement intéressant dans l'interprétation de la TFL : accepter la TFL remet en question une approche de la science et de la géographie strictement fondées sur les lois. Le message de Phillips est que ce n'est qu'en acceptant ce défi que nous pourrons rendre justice à la TFL.","2004-06-01","2020-06-01 13:00:17","2021-02-12 20:50:27","2020-06-01 12:58:31","290-293","","2","94","","","","","","","","","","en","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1111/j.1467-8306.2004.09402005.x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWV55C7F","journalArticle","2004","Goodchild, Michael F.","The Validity and Usefulness of Laws in Geographic Information Science and Geography","Annals of the Association of American Geographers","","0004-5608","10/dmjdr7","https://doi.org/10.1111/j.1467-8306.2004.09402008.x","CC - Goodchild, s'intéresse à la validité et à l'utilité de la TFL dans le contexte de la GIScience. Il présente son point de vue sur la relation entre les SIG et la géographie, suivi d'une brève introduction sur les SIG et souligne le rôle des principes généraux dans les SIG. Il afﬁrme le statut et l'utilité de la TFL dans la géographie en général et les SIGciences en particulier. La question plus générale est de savoir s'il est possible de s'appuyer sur la contribution de Tobler pour aller de l'avant.","2004-06-01","2020-06-01 13:08:19","2021-02-12 20:50:26","2020-06-01 13:08:19","300-303","","2","94","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1111/j.1467-8306.2004.09402008.x","","C:\Users\cplume01\Zotero\storage\UBDBC4RR\j.1467-8306.2004.09402008.html; C:\Users\cplume01\Zotero\storage\96AF9R92\Goodchild - 2004 - The Validity and Usefulness of Laws in Geographic .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT9GBD6Y","journalArticle","2004","Smith, Jonathan","Tobler's First LaUnlawful Relations and Verbal Inflationw of Geography: A Big Idea for a Small World?","Annals of the Association of American Geographers","","0004-5608","10/fk249f","https://doi.org/10.1111/j.1467-8306.2004.09402003.x","CC - Selon M. Smith, trois conditions doivent être remplies pour qu'une déclaration soit acceptée comme loi : elle doit être universelle, synthétique et nécessaire. Smith décompose la TFL en deux propositions - la proposition métaphysique et la proposition géographique - dont aucune n'est strictement vraie selon sa définition d'une loi. Il exprime son malaise face à l'nﬂation verbale qui élève non seulement les généralisations nomologiques, mais aussi les généralisations accidentelles, les déclarations analytiques et les règles empiriques au rang de lois. Il affirme que l'utilisation désinvolte du mot ""loi"" a donné naissance à une inflation verbale qui rend difficile de différencier le faux du vrai dans le discours universitaire","2004-06-01","2020-06-01 13:06:10","2021-02-12 20:50:26","2020-06-01 12:52:34","294-299","","2","94","","AAAG","Tobler's First Law of Geography","","","","","","","eng","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1111/j.1467-8306.2004.09402003.x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LHXH9K8R","journalArticle","1991","Cauvin, Colette; Reymond, Henry","Interaction spatiale et cartographie : les solutions de W. Tobler","Espace Populations Sociétés","","","10/dj2f69","https://www.persee.fr/doc/espos_0755-7809_1991_num_9_3_1489","Cet article a pour but de présenter brièvement une des directions de recherche privilégiée par le Professeur W.R. Tobler : les modèles d'interaction spatiale et la cartographie associée. Des travaux successifs et complémentaires aboutissent - d'une part, à la mise au point d'un modèle simple permettant de retrouver les chemins des échanges entre lieux à partir des seuls effectifs marginaux (c'est-à-dire le total des départs et des arrivées pour chaque lieu), - d'autre part à des représentations cartographiques nouvelles sous forme de champ vectoriel, de lignes d'égales attractivités... Le modèle, appartenant à la famille des modèles gravitaires fermés, a pour originalité principale l'additivité des composantes du numérateur et, dans sa forme élémentaire, l'absence de pondération de la distance.","1991","2020-06-01 13:14:44","2021-02-12 20:50:26","2020-06-01 13:14:44","467-485","","3","9","","","Interaction spatiale et cartographie","","","","","","","fre","free","","","","www.persee.fr","","Publisher: Persée - Portail des revues scientifiques en SHS","","C:\Users\cplume01\Zotero\storage\B8QYPL5A\espos_0755-7809_1991_num_9_3_1489.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHNHEKFA","journalArticle","1991","Cauvin, Colette; Enaux, Christophe","De la cartographie de report à la cartographie transformationnelle. Propositions pour la représentation des données de population","Espace Populations Sociétés","","","10/d669hb","https://www.persee.fr/doc/espos_0755-7809_1991_num_9_3_1490","Cet article propose quelques méthodes nouvelles pour la représentation spatiale de données de population, en soulignant leurs intérêts et leurs dangers. Si les transformations cartographiques conduisent à des cartes comparables et reproductibles par tous, elles ne peuvent être utilisées pour n'importe quelle variable ou dans n'importe quelles circonstances. La cartographie voit s'ouvrir des directions de recherche originales qu'il convient de tester et d'approfondir, tout en conservant un regard critique.","1991","2020-06-01 13:16:31","2021-02-12 20:50:23","2020-06-01 13:15:57","487-503","","3","9","","","","","","","","","","fre","free","","","","www.persee.fr","","Publisher: Persée - Portail des revues scientifiques en SHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NSPG5HX","journalArticle","2018","AAAG","Waldo Tobler (1930-2018)","Association of American Geographers (AAG),","","","","http://www.aag.org/cs/membership/tributes_memorials/sz/tobler_waldo","","2018","2020-06-01 13:23:43","2021-02-12 20:50:22","","1 page sur le web","","","Memorials & Tributes,","","","","","","","","","","en","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBPWC3ZN","journalArticle","2012","UCGIS","Waldo R. Tobler","University Consortium for Geographic Information Science (UCGIS)","","","","https://www.ucgis.org/waldo-r--tobler","","2012","2020-06-01 13:27:12","2021-02-12 20:50:21","","1 page web","","","Awarded year","","","UCGIS","","","","","","","","","","","","","","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBVQAMVN","journalArticle","2019","Unwin, David","Waldo Tobler: An appreciation of the contributions made to geographic information science","Transactions in GIS","","1467-9671","10/gh2tsx","https://onlinelibrary.wiley.com/doi/abs/10.1111/tgis.12529","","2019","2020-06-01 13:19:02","2021-02-12 20:50:19","2020-06-01 13:19:02","387-393","","2","23","","","Waldo Tobler","","","","","","","en","© 2019 John Wiley & Sons Ltd","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/tgis.12529","","C:\Users\cplume01\Zotero\storage\PKNNTP8Y\tgis.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
