"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JX3WD4DW","presentation","1999","Tobler, W. R.","Unusual Map Projections","","","","","https://ktwop.files.wordpress.com/2012/09/unusual-map-projections-tobler-1999.pdf|http://www.ncgia.ucsb.edu/projects/tobler/Projections/sld001.htm","Map projections are fun.","1999-03-23","2020-05-18 13:00:33","2021-07-14 11:46:23","","","","","","","","","","","","","","Honolulu, Hawai","en","","Diaporama","","","","","Cote:CC209","<p>Résumé C. Reymond-Cauvin, 18/05/2020</p> <p><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Show présentant un grand nombre de projections inhabituelles.</span></p>","C:\Users\cplume01\Zotero\storage\BNVJJCBU\Map Projections are fun.pps","","CC-Systeme_projection; LocCC-CDSH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Association of American Geographers Annual Meeting","","","","","","","","","","","","","","","",""
"Q2NVUUNR","report","1993","Tobler, Waldo R.","Non–Isotropic Modeling","","","","","http://ncgia.ucsb.edu/technical-reports/PDF/93-1.pdf|http://www.geodyssey.com/papers/tobler93.html","","1993-02","2020-05-17 22:41:36","2021-05-18 16:48:08","","4","","","","","","","","","","Three presentations on Spatial Analysis","NCGIA National Center for Geographic Information and Analysis","Santa Barbara","en","","Technical Report","","","","CC187","","","","","CC-Modelisation mathématique; LocCC-WEB","","","","","","","","","","","","","","","","","","","","TR–93–1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"974IRN89","journalArticle","1959","Tobler, Waldo R.","Automation and Cartography","Geographical Review","","0016-7428","10/fhcmr3","https://www.jstor.org/stable/212211","","1959","2020-04-16 11:12:05","2021-02-12 20:50:04","2020-04-16 09:58:50","526-534","","4","49","","","","","","","","","","en","","","JSTOR","","JSTOR","CC4","translated and reprinted in Geodeziya i Kartografiya, XXI, 3, (Moscow, 1962)","<p><span style=""font-size: 12.0pt; line-height: 107%; font-family: 'Times New Roman',serif;"">Résumé C. Reymond-Cauvin, 02/05/2020<br /><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Article fondateur des SIG avec la conception d'un programme pour la cartographie : MIMO (map In, Map Out). Il décrit le fonctionnement de l'ordinateur pour faire une carte</span><br /></span></p>; <p>translated and reprinted in Geodeziya i Kartografiya, XXI, 3, (Moscow, 1962).  Il faudrait trouvé la bonne réf' pour la saisir et faire un crossref.</p> <p>+ chapitre avec même titre  publiié en 2011 (The Map Reader). CC321</p>","","","CC-Réflexion-informatique; CC-SIG (GIS); LocCC-CDSC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EY4ESA37","journalArticle","1970","Tobler, Waldo R.","A Computer Movie Simulating Urban Growth in the Detroit Region","Economic Geography","","00130095","10/cfqcnv","https://www.jstor.org/stable/143141?origin=crossref","","1970-06","2020-04-14 08:44:14","2021-02-12 20:49:59","2020-04-13 20:17:52","234","","","46","","Economic Geography","","","","","","","","","","","","","DOI.org (Crossref)","CC46","","<p>Résumé C. Reymond-Cauvin, 05/05/2020</p> <p><span style=""font-size: 12.0pt; line-height: 107%; font-family: 'Times New Roman',serif;""> </span></p> <p><span style=""font-size: 12.0pt; line-height: 107%; font-family: 'Times New Roman',serif;""><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Proposition d'une représentation animée de la répartition de la croissance démographique d'une ville selon un modèle. </span><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">L'hypothèse correspond à la 1<sup>e</sup> loi de Tobler. ""everything is related to everything else, but near things are more related than distant things"". </span><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Tobler Cherche un modèle simple et justifie sa position. Il compare aussi deux états de la répartition. L'exemple porte sur la ville de Détroit.</span></span></p>","","","CC-Réflexion-informatique; CC-Loi de Tobler; CC-programmes; LocCC-CDSA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA5NFNNF","journalArticle","1967","Tobler, Waldo R.","Of Maps and Matrices","Journal of Regional Science","","","","","","1967","2020-04-29 17:19:30","2021-02-12 20:49:58","","","","(supplement)","7","","","","","","","","","","en","","","","","","CC36","","<p>Résumé C. Reymond-Cauvin, 05/05/2020</p> <p><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Article important surtout compte tenu de sa date de publication. Si les états des données de recensement ou autres (données de système) sont présentées sous forme de vecteur ligne ou colonne, pour les états des données géographiques, il faut les présenter sous forme de matrices. On considère ces dernières comme des images des cartes de sorte que la topologie est conservée. L'article expose ces notions et founit un exemple à partir des travaux d'Hägerstrand sur la diffusion des innovations. </span></p>","","","CC-Modelisation mathématique; ⛔ No DOI found; CC-SIG (GIS); LocCC-CDSA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIMBQEE6","journalArticle","1963","Tobler, Waldo R.","Geographic Ordering of Information","The Canadian Geographer/Le Géographe canadien","","0008-3658, 1541-0064","10/fch9hk","http://doi.wiley.com/10.1111/j.1541-0064.1963.tb00806.x","","1963-12","2020-04-14 08:44:14","2021-02-12 20:49:58","2020-04-13 20:07:58","203-205","","4","7","","Canadian Geographer","","","","","","","","en","","","","","DOI.org (Crossref)","CC21","","<p>Résumé C. Reymond-Cauvin, 06/06/2020</p> <p><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Cet article explique la nécessité de disposer d'informations géographiquement ordonnées, ce qui signifie qu'elles doivent être localisées. Il décrit la méthode d'Hägerstrand et précise que l'évolution technologique actuelle devrait permettre de faciliter l'obtention de ce type de données.</span></p>","","","CC-Modelisation mathématique; CC-SIG (GIS); LocCC-CDSC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EEJMGMS","journalArticle","1987","Couclelis, H.; Golledge, Reginald; Gale, N.; Tobler, Waldo R.","Exploring the anchor-point hypothesis of spatial cognition","Journal of Environmental Psychology","","1522-9610(Electronic),0272-4944(Print)","10/b5cvwp","https://psycnet.apa.org/record/1988-18761-001","According to the anchor-point hypothesis of spatial cognition primary nodes or reference points anchor distinct regions in cognitive space, bringing together certain frequently reported apparent properties of mental maps: the regionalization and hierarchical organization of cognitive space and the active role of salient cues in structuring spatial cognition. The anchor-point hypothesis is explored conceptually, and one version of it, the ""tectonic plates"" hypothesis, is made operational. Cognitive configurations derived from 5 Ss selected from a larger sample (used by the 2nd author and N. Wrigley, 1985) were analyzed using 3 different methods: the Galois lattice approach, the relative proximity approach, and single-link cluster analysis. Features transcending any method-specific biases were identified. Comparative results are appended. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","1987","2020-05-11 15:53:07","2021-02-09 13:41:29","","99-122","","2","7","","","","","","","","","","en","","","","","APA PsycNET","CC113","","","","","CC-Modelisation mathématique; CC-Anamorphose (sauf cartogramme); LocCC-LBCAO","Cognitive Maps; Familiarity; Spatial Organization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KT6CW28B","journalArticle","1957","Sherman, John C.; Tobler, Waldo R.","Multiple Use Concept In Cartography","The Professional Geographer","","0033-0124","10/fbr8mn","https://doi.org/10.1111/j.0033-0124.1957.095_5.x","","1957-01","2020-04-30 08:25:19","2021-02-09 13:41:29","2020-04-30 08:25:19","5-8","","5","9","","","","","","","","","","en","","","","","Taylor and Francis+NEJM","CC2","","<p><span style=""font-size: 12.0pt; line-height: 107%; font-family: 'Times New Roman',serif;"">Résumé C. Reymond-Cauvin, 02/05/2020<br /><span style=""font-size: 11.0pt; line-height: 107%; font-family: 'Calibri',sans-serif;"">Cet article explique que quelle que soit l'échelle, des éléments sont constants dans la construction d'une carte. En séparant ces éléments sur des plans différents, on peut reconstituer des cartes pour des usages différents à un moindre coût. En fait c'est la base même, le principe fondamental des SIG.</span><br /></span></p>","","","CC-SIG (GIS); CC-Concept_cartographie; LocCC-RRWT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8HQH456","conferencePaper","1966","Tobler, Waldo R.","Spectral Analysis of Spatial Serie","Proceedings","","","","https://www.researchgate.net/publication/253506306_Spectral_Analysis_of_Spatial_Series","","1966","2020-04-29 17:10:50","2021-02-09 13:41:29","","179-186","","","","","","","","","","","","Berkeley, US","en","","","","","","CC34","","<p>Résumé C. Reymond-Cauvin, 05/05/2020</p> <p><span style=""font-size: 11.0pt; line-height: 106%; font-family: 'Calibri',sans-serif;"">Transposition des méthodes d'analyse spectrale initialement pour le temps vers les répartitions. Exemples sur la répartition de la population de Détroit à différentes périodes. Réflexion sur les comparaisons grâce l'analyse cross-spectrale.</span></p>","","","⛔ No DOI found; LocCC-CDSA; CC-Généralisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fourth Annual Conference on Urban Planning Information Systems","","","","","","","","","","","","","","",""
"KR8JMR3T","journalArticle","1969","Tobler, Waldo R.","The Spectrum of U.S. 40","Regional Science Association","","10568190, 14355957","10/bsc4j8","http://doi.wiley.com/10.1111/j.1435-5597.1969.tb01398.x","","1969","2020-04-14 08:44:14","2021-02-09 13:41:29","2020-04-13 19:46:55","45-53","","1","23","","","","","","","","","","en","","","","","DOI.org (Crossref)","CC43","","<p>Article republié intégratiolement en 2005 (est indiqué en haut de la page web ""publié pour la 1e fois en 1969"") in Papers in Regional Science.</p>; <p>Résumé C. Reymond-Cauvin, 05/05/2020</p> <p style=""text-align: justify;"">Article proposant une application de l'analyse spectrale bidimensionnelle à l'espace, plus particulièrement aux densités des villes se trouvant sur l'autoroute de Baltimore à San Francisco. Des tests sont effectués en calculant la densité de chaque ville selon des fonctions différentes. <span style=""color: #000000;"">Entre généralisation et filtrage</span></p>","","","LocCC-CDSA; CC-Généralisation; CC-Filtrage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
