Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
000-649-451-763-370,Pathologische Anatomie. (Sektionstechnik) und Physiologie,,1941,journal article,Deutsche Zeitschrift für die Gesamte Gerichtliche Medizin,09379827; 14371596,Springer Science and Business Media LLC,,null Ratkóczy; null Walcher; null Camerer; null Goebel; null Henneberger-Köstler; null Esser; Einar Sjövall; null Haagen; null Hiller; Rudolf Koch; null Bergmeister; null Voss; null Jacob; Gerhard Franke; null Herrnberger; null v. Neureiter; null Matzdorff; null Tobler; null Merkel,,33,3,201,213,,,,,,,http://dx.doi.org/10.1007/bf01773665,,10.1007/bf01773665,,,0,,0
000-829-240-321-490,Einzelreferate und Buchbesprechungen,,1922,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null v. Baeyer; null Peiper; null Scligmann; null Schmitz; null Koenigsfeld; null Flury; null Koch; null Hayward; null Dietlen; null Eckstein; H. Hirschfeld; A. W. Fischer; null Reiss; null Dessecker; null Westenhöfer; null Freudenberg; null Goldstein; null Griesbach; null Eisner; null Nick; null Israel; null Halberstädter; null Finkenrath; null Jonas; null Holzer; null Tobler; null Juliusberg; null Weigert; null Buschke; null Worms; null Engwer; null Jahnel; null Jaffé,,1,26,1320,1328,,,,,,,http://dx.doi.org/10.1007/bf01712024,,10.1007/bf01712024,,,0,,0
001-251-763-552-317,Alternatives to Miller's Projection,,1997,journal article,Cartography and Geographic Information Systems,10509844,Informa UK Limited,United States,Waldo R. Tobler,"In the 1942 issue of the Geographical Review published by the American Geographical Society, Osborne Maitland Miller presented a map projection which might be used as an alternative to that devised by Mercator. This is now known as Miller's Cylindrical projection and is quite popular. Its advantages are that it provides a good approximation to the Mercator near the Equator and has a finite limit at the poles. Of course, it is not conformal, nor are loxodromes represented by straight lines. Miller actually investigated several projections, comparing seven of them to Mercator's, and chose the one described here as the best for his purpose. This purpose, proposed by S. Boggs, the then Geographer to the U. S. Department of State, was to find an acceptable balance between shape and area distortion. I present here two much simpler alternatives which have properties similar to Miller's projection. As with all cylindrical projections, the equations are of the form: (1) x = [Lambda] (2) y = f([Psi]) where [Psi] and [Lambda]. are the latitude and longitude measured in radians. The latitudinal functions for Mercator's, Miller's, and the two new variant projections are as follows: (3) Mecator= Ln Tan([Pi]/4 + [Psi]/2) (4) Miller 1.25 Ln Tan ([Pi]/4 + 2 [Psi]/5) (5) Variation # 1 = [Psi] + 1/6[[Psi].sup.3] (6) Variant # 2 = [Psi] + 1/6[[Psi].sup.3] + 1/24 [[Psi].sup.5] These projections agree almost completely to latitude 45 degrees. The graph in Figure 1 compares the latitudinal spacing beyond 60 degrees, where the difference becomes noticeable. As can be seen on the graph, the first variant is virtually identical to Miller's projection, and the second is closer to Mercator's projection than either the Miller's or the variant 1 projections are. [Figure 1 ILLUSTRATION OMITTED] The equations for the two variant projections are much simpler than those for Miller's (and for Mercator's) projection, have simpler inverses, and simpler derivatives for the calculation of distortion. These advantages are of benefit primarily for computational purposes, as the differences are hardly detectable on a world map without actual measurement (see Figure 2). It is of course ironic that Mercator's anamorphose, designed for the graphical solution to a problem in analytical geometry on a sphere, should even be considered for a non-navigational world map. None of the alternatives to Mercator's projection are suitable for navigation. [Figure 2 ILLUSTRATION OMITTED] We should ask how well any of these projections satisfy Boggs' criteria. To quote from Miller's article (1942, p. 425): By an ""acceptable"" balance is meant one which to the uncritical eye does not obviously depart from the familiar shapes of the land areas as depicted by the Mercator projection but which reduces areal distortion as far as possible under these conditions. It is rather difficult to convert this curious statement into a well defined system of equations to be solved. What, for example, is an `uncritical eye'? Does this mean we can tolerate an error of 5%, or 10%, or what? Reducing areal distortion ""as far as possible"" can take several meanings. George Airy's (1861) criterion of balancing the world average squared areal and angular distortions leads to the well defined, though not simple, problem of finding a function which minimizes an integral that is a linear combination of the two types of distortion, subject to appropriate constraints. This is a problem in the calculation of variations that has led to the so called ""optimal"" projections (James and Clarke 1862, Young 1920, Mescheryakov 1965, Biernacki 1965, Milnor 1969, Baetsle 1970, Gilbert 1974, Tobler 1977, Peters 1981, Pearson 1982, Hoschek 1984, Canters 1989, Laskowski 1991). Two recent studies (Grafarend and Niermann 1984, Gyorffy 1990) have applied Airy's criteria to cylindrical projections. …",24,2,110,112,Discrete mathematics; Latitude; Geographic coordinate system; Miller cylindrical projection; Map projection; Geometry; World map; Mathematics; Mercator projection; Analytic geometry; Conformal map,,,,,https://www.questia.com/library/journal/1G1-53946989/alternatives-to-miller-s-projection,http://dx.doi.org/10.1559/152304097782439358,,10.1559/152304097782439358,2057937939,,0,,2
001-872-345-812-683,"Grundlagen der Röste, eine wissenschaftlich-technische Einführung für Bakteriologen, Landwirte, Röster, Spinner und Fachschüler. Von Dr. Gerhard Ruschmann. 188 Seiten mit 27 Abbildungen. Leipzig. Verlag von S. Hirzel",1924-02-28,1924,journal article,Zeitschrift für Angewandte Chemie,00448249; 15213757,Wiley,United Kingdom,null Tobler,,37,9,118,119,,,,,,http://doi.wiley.com/10.1002/ange.19240370913 http://onlinelibrary.wiley.com/doi/10.1002/ange.19240370913/abstract,http://dx.doi.org/10.1002/ange.19240370913,,10.1002/ange.19240370913,1980520863,,0,,0
002-536-954-127-597,Introduction,,1999,journal article,Journal of Sleep Research,09621105; 13652869,Wiley,,null Tobler,,8,S1,i,iii,,,,,,,http://dx.doi.org/10.1046/j.1365-2869.1999.0080s100i.x,,10.1046/j.1365-2869.1999.0080s100i.x,,,0,001-196-098-376-931; 002-824-015-408-995; 002-850-618-799-373; 002-922-301-095-933; 011-222-898-353-075; 015-055-598-393-999; 028-648-450-069-063; 029-074-460-243-535; 038-261-500-044-750; 038-383-975-564-472; 042-409-663-745-183; 044-232-122-534-780; 047-966-069-130-585; 050-218-564-306-685; 053-461-751-592-460; 059-875-068-915-059; 062-828-346-485-72X; 066-038-738-788-059; 081-300-443-155-275; 082-148-349-233-196; 085-241-694-743-870; 091-347-286-141-144; 125-640-082-240-778,1
002-862-726-856-281,Choropleth Maps Without Class Intervals,2010-09-03,2010,journal article,Geographical Analysis,00167363; 15384632,Wiley,United States,Waldo R. Tobler,,5,3,262,265,Choropleth map; Class (set theory); Choropleth Mapping; Computer science; Bivariate map; Cartography,,,,,http://onlinelibrary.wiley.com/doi/10.1111/j.1538-4632.1973.tb01012.x/epdf https://www.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1538-4632.1973.tb01012.x https://www.onlinelibrary.wiley.com/doi/abs/10.1111/j.1538-4632.1973.tb01012.x,http://dx.doi.org/10.1111/j.1538-4632.1973.tb01012.x,,10.1111/j.1538-4632.1973.tb01012.x,2036083346,,0,001-040-498-596-334; 020-428-713-555-683; 022-294-884-591-728; 029-212-418-304-077; 062-489-023-024-204; 069-673-916-750-654; 077-524-401-284-616; 086-374-261-706-551; 105-231-985-238-764; 110-520-229-432-010; 114-621-420-629-792; 181-497-719-344-403,37
004-060-250-701-177,Unusual Map Projections,2008-03-01,2008,journal article,Cartographic Perspectives,10489053,North American Cartographic Information Society,United States,Waldo R. Tobler,"In this paper I look at azimuthal projections, equal area projections, and spherical and map distances, with emphasis on less known variants.",,59,28,40,Geology; Azimuth; Map projection; Cartography,,,,,http://www.cartographicperspectives.org/index.php/journal/article/view/246/0 https://core.ac.uk/download/pdf/229643786.pdf,http://dx.doi.org/10.14714/cp59.246,,10.14714/cp59.246,2089718350,,0,,4
004-202-526-206-216,Haut,,1942,journal article,Zeitschrift für Krebsforschung,01715216; 14321335,Springer Science and Business Media LLC,,null Ostertag; null Krah; Fr. Woringer; K. Rintelen; E. Schröpl; Arthur Hintze; null Tobler; F. Dietel; Annelise Schlüter,,52,S5,337,339,,,,,,,http://dx.doi.org/10.1007/bf01629982,,10.1007/bf01629982,,,0,,0
005-048-417-636-333,Einzelreferate und Buchbesprechungen,,1924,journal article,Klinische Wochenschrift,00232173; 14321440,Springer Science and Business Media LLC,,null His; E. Straus; null Koenigsfeld; null Reagiert; null Tobler; null Hofmeier; null Putter; F. Schiff; null Becker; null Peiper; null Oppenheimer; null Halberstaedter; null Teleky; null Starkenstein; O. Wiener; null Schübel; null Sperling; null Deusch; null Schiff; null Edens; null Dietlen; null Herzfeld; null Christeller; null Fischer; null Freudenberg; null Griesbach; K. Keller; null Jaschke; null Jonas; null Schrader; null Enderlen; null Meyer; null Valentin; null Simon; null Koch; K. Goldstein; null Mendel; null Goldstein; null Schilder; null Straus; null Vogel; null Preuss,,3,43,1969,1980,,,,,,,http://dx.doi.org/10.1007/bf01714220,,10.1007/bf01714220,,,0,,0
006-061-931-151-737,TREATMENT OF PYLOROSPASM,,1929,journal article,The Journal of Nervous and Mental Disease,00223018; 1539736x,Ovid Technologies (Wolters Kluwer Health),United States,W. Tobler,,69,5,583,,,,,,,http://content.wkhealth.com/linkback/openurl?sid=WKPTLP:landingpage&an=00005053-192905000-00028,http://dx.doi.org/10.1097/00005053-192905000-00028,,10.1097/00005053-192905000-00028,1995008825,,0,,0
