Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Gonzalez R.C., Woods R.E.","",[No title available],1992,"Digital Image Processing",,,,"","",,34505,,,,"Gonzalez, R.C.; Woods, R.E.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0003626435
"Watts D.J., Strogatz S.H.","7201539502;7004197013;","Collective dynamics of 'small-world9 networks",1998,"Nature","393","6684",,"440","442",,28287,"10.1038/30918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032482432&doi=10.1038%2f30918&partnerID=40&md5=ca43cb7dbcd4d2523c3a59d72e8bea01","Department of Theoretical and Applied Mechanics, Kimball Hall, Cornell University, Ithaca, NY 14853, United States","Watts, D.J., Department of Theoretical and Applied Mechanics, Kimball Hall, Cornell University, Ithaca, NY 14853, United States; Strogatz, S.H., Department of Theoretical and Applied Mechanics, Kimball Hall, Cornell University, Ithaca, NY 14853, United States","Networks of coupled dynamical systems have been used to model biological oscillators 1-4, Josephson junction arrays5,6, excitable media7, neural networks8-10, spatial games"", genetic control networks12 and many other self-organizing systems. Ordinarily, the connection topology is assumed to be either completely regular or completely random. But many biological, technological and social networks lie somewhere between these two extremes. Here we explore simple models of networks that can be tuned through this middle ground: regular networks 'rewired' to introduce increasing amounts of disorder. We find that these systems can be highly clustered, like regular lattices, yet have small characteristic path lengths, like random graphs. We call them 'small-world' networks, by analogy with the small-world phenomenon13'14 (popularly known as six degrees of separation15). The neural network of the worm Caenorhabditis elegans, the power grid of the western United States, and the collaboration graph of film actors are shown to be small-world networks. Models of dynamical systems with small-world coupling display enhanced signal-propagation speed, computational power, and synchronizability. In particular, infectious diseases spread more easily in small-world networks than in regular lattices.",,"article; mathematical analysis; priority journal; system analysis; Animals; Caenorhabditis elegans; Communicable Diseases; Games, Experimental; Models, Biological; Models, Neurological; Models, Theoretical; Nerve Net",,,,,,,,,,,,,,,,"Winfree, A., T. Tlie Geometry of Biological Time Springer, New York, , 1980; Kuramoto, Y., Chemical Oscillations, Wavcs, and Turbulence Springer, Berlin, , 1984; Strogatz, S., H. & Stewart, I. Coupled Oscillators and Biological Synchronization. Sci. Am., , 269(6), 102109(1993); Bressloff, P., C, Coombes, , 5. & De Souza, B. D-namics of a ring of pulse-coupled oscillators: a group theoretic approach. Phys. Rev. Lett. 79, 2791-2794 (1997); Braiman, Y., Lindner, J. F. & Ditto, W. L Taming Spatiotcmporal Chaos with Disorder. Nature, , 378, 465-467(1995); Wiesenfeld, K., New Results on Frequency-locking Dynamics of Disordered Josephson Arrays. Physica B, , 222,315-319(1996); Gerhardt, M., Schuster, H. & Tyson, J. J. A Cellular Automaton Model of Excitable Media Including Curvature and Dispersion. Science247, , 1563-1566 (1990); Collins, J., J., Chow, C. C. & Imhoff, T. T. Stochastic Resonance Without Tuning. Nature, , 376,236-238 (1995); Hopfield, I., J. & Herz, A. V. M. Rapid Local Synchronization of Action Potentials: Toward Computation with Coupled Integrate-and-fire Neurons. Proc. Nail Acad. Sci. USA, , 92,6655-6662 (1995); Abbott, L., F. & Van Vreeswijk,C. Asynchronous States in Neural Networks of Pulse-coupled Oscillators. Phy$. Rev. £48(2), , 1483-1490 (1993); Nowak, M., A. & May, R. M. Evolutionary Games and Spatial Chaos. Nature, , 359,826-829 (1992); Kauffman, S., A. Metabolic Stability and Epîgenesis in Randomly Constructed Genetic Nets. J. Theor. Biol, , 22,437-467(1969); Milgram, S., The Small World Problem. Psychol, Today2, , 60-67 (1967); Kochen, M., (Ed.) Ttie Small World Ablex, Norwood, NJ, , 1989; Guare, J., Six Degrees of Separation: A Play Vintage Books, New York, , 1990; Bollabâs, B., Random Graphs Academic, London, , 1985; Achacoso, T.B., & Yamamoto, W. S. AY's Neuroanatomy OfC. Elcgansfor Computation CRC Press, Boca Raton, FL, , 1992; Wasserman, S., & Faust, K. Social AVfuwJt Analysis: Methods Ami Applications Cambridge Univ. Press, , 1994; Phadke, A., G. & Thorp, J. S. Computer Relapngfor Power Systems Wiley, New York, , 1988; Sattenspiel, L., & Simon, C. P. the Spread and Persistence of Infectious Diseases M Structured Populations. Math. Biosei., , 90,341-366 (1988); Longini, I., M. Jr A Mathematical Model for Predicting the Geographic Spread of New Infectious Agents. Math. Biosei, , 90, 367-383 (1988); Hess, G., Disease in Metapopulation Models: Implications for Conservation. Ecology, , 77, 1617-1632 (1996); Blythe, S., P., Castillo-Chavcz, C. & Palmer, J. S. Toward A Unified Theory of Sexual Mixing and Pair Formation. Math. Biosei., , 107,379-405 (1991); Kretschmar, M., & Morris, M. Measures of Concurrency in Networks and the Spread of Infectious Disease. Math. Biosei., , 133, 165-195 (1996); Dos, R., Mitchell, M. & Crutchfield, J. P. in Parallel Problem Solving from Nature (Eds Davido, Y., Schwefel, H.-P. & Manner, R.), , 344-353 (Lecture Notes in Computer Science 866, Springer, Berlin, 1994); Axelrod, R., The Evolution Cf Cooperation Basic Books, New York, , 1984; Gray, C., M., König, P., Engel, A. K. & Singer, W. Oscillatory Responses in Cat Visual Cortex Exhibit Intercolumnar Synchronization Which Reflects Global Stimulus Properties. Nature, , 338,334-337 (1989)","Watts, D.J.; Department of Theoretical and Applied Mechanics, , Ithaca, NY 14853, United States",,,"Macmillan Magazines Ltd",,,,,00280836,,NATUA,"9623998","English","Nature",Article,"Final","",Scopus,2-s2.0-0032482432
"Goodman J.W.","",[No title available],1968,"Introduction to Fourier Optics",,,,"","",,14579,,,,"Goodman, J.W.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0004080484
"Duda R.O., Hart P.E.","",[No title available],1973,"Pattern Classification and Scene Analysis",,,,"","",,13134,,,,"Duda, R.O.; Hart, P.E.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003472470
"Mantel N.","7006033924;","The Detection of Disease Clustering and a Generalized Regression Approach",1967,"Cancer Research","27",,,"209","220",,9155,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014054519&partnerID=40&md5=8852b586cac5a0e1450341eebe6571b1","Biometry Branch, National Cancer Institute, NIH, Bethesda, Maryland, United States","Mantel, N., Biometry Branch, National Cancer Institute, NIH, Bethesda, Maryland, United States","The problem of identifying subtle time-space clustering of disease, as may be occurring in leukemia, is described and reviewed. Published approaches, generally associated with studies of leukemia, not dependent on knowledge of the underlying population for their validity, are directed towards identifying clustering by establishing a relationship between the temporal and the spatial separations for the n(n −1)/2 possible pairs which can be formed from the n observed cases of disease. Here it is proposed that statistical power can be improved by applying a reciprocal trans form to these separations. While a permutational approach can give valid probability levels for any observed association, for reasons of practicability, it is suggested that the observed association be tested relative to its permutational variance. Formulas and computational procedures for doing so are given. While the distance measures between points represent symmetric relationships subject to mathematical and geometric regularities, the variance formula developed is appropriate for arbitrary relationships. Simplified procedures are given for the ease of symmetric and skew-symmetric relationships. The general procedure is indicated as being potentially useful in other situations as, for example, the study of interpersonal relationships. Viewing the procedure as a regression approach, the possibility for extending it to nonlinear and multivariate situations is suggested. Other aspects of the problem and of the procedure developed are discussed. © 1967, American Association for Cancer Research. All rights reserved.",,"article; epidemic; epidemiology; human; leukemia; Disease Outbreaks; Epidemiologic Methods; Human; Leukemia",,,,,,,,,,,,,,,,,"Mantel, N.; Biometry Branch, , Bethesda, Maryland, United States",,,,,,,,00085472,,,"6018555","English","Cancer Res.",Article,"Final","",Scopus,2-s2.0-0014054519
"McCulloch W.S., Pitts W.","7005416468;8949658600;","A logical calculus of the ideas immanent in nervous activity",1943,"The Bulletin of Mathematical Biophysics","5","4",,"115","133",,8498,"10.1007/BF02478259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51249194645&doi=10.1007%2fBF02478259&partnerID=40&md5=edb67afceee33d22eaabbf1f8c1dca90","College of Medicine, Department of Psychiatry at the Illinois Neuropsychiatric Institute, University of Illinois, United States; The University of Chicago, Chicago, United States","McCulloch, W.S., College of Medicine, Department of Psychiatry at the Illinois Neuropsychiatric Institute, University of Illinois, United States; Pitts, W., The University of Chicago, Chicago, United States","Because of the ""all-or-none"" character of nervous activity, neural events and the relations among them can be treated by means of propositional logic. It is found that the behavior of every net can be described in these terms, with the addition of more complicated logical means for nets containing circles; and that for any logical expression satisfying certain conditions, one can find a net behaving in the fashion it describes. It is shown that many particular choices among possible neurophysiological assumptions are equivalent, in the sense that for every net behaving under one assumption, there exists another net which behaves under the other and gives the same results, although perhaps not in the same time. Various applications of the calculus are discussed. © 1943 The University of Chicago Press.",,,,,,,,,,,,,,,,,,,"McCulloch, W.S.; College of Medicine, Department of Psychiatry at the Illinois Neuropsychiatric Institute, United States",,,"Kluwer Academic Publishers",,,,,00074985,,BMTBA,,"English","Bulletin of Mathematical Biophysics",Article,"Final","",Scopus,2-s2.0-51249194645
"Lewin K.","",[No title available],1951,"Field Theory in Social Science",,,,"","",,6744,,,,"Lewin, K.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0003420955
"Zipf G.K.","",[No title available],1949,"Human Behavior and the Principle of Least Effort",,,,"","",,6651,,,,"Zipf, G.K.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0003586256
"Lawson C.L., Hanson R.J.","",[No title available],1974,"Solving Least Squares Problems",,,,"","",,6398,,,,"Lawson, C.L.; Hanson, R.J.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Final","",Scopus,2-s2.0-0003476369
"Parzen E.","","On estimation of a probability density function and mode",1962,"Ann. Math. Statist.","33",,,"1065","1076",,6388,,,,"Parzen, E.",[No abstract available],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",Scopus,2-s2.0-0001473437
