1163649  (Author Record Id) OR 3113353  (Author Record Id) OR 1429105  (Author Record Id)
Timespan:1900-2022. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"COMPUTER MOVIE SIMULATING URBAN GROWTH IN DETROIT REGION","TOBLER, WR","","","","ECONOMIC GEOGRAPHY","1970","1970","46","2","","","","234","240","","10.2307/143141","","","3718","71.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","6","2","0","1","2","1","2","1","1","1","1","2","0","2","0","4","1","4","1","5","2","3","6","5","7","7","6","8","16","25","28","30","63","62","109","112","132","147","161","210","213","272","330","336","449","452","478","8"
"SMOOTH PYCNOPHYLACTIC INTERPOLATION FOR GEOGRAPHICAL REGIONS","TOBLER, WR","","","","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","1979","1979","74","367","","","","519","530","","10.2307/2286968","","","366","8.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","3","1","3","1","2","0","4","0","4","5","5","2","4","4","4","2","5","4","5","7","5","4","7","9","16","11","11","24","17","22","24","17","25","15","18","16","22","17","14","1"
"On the first law of geography: A reply","Tobler, W","","","","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","JUN 2004","2004","94","2","","","","304","310","","10.1111/j.1467-8306.2004.09402009.x","","","161","8.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","3","0","2","5","7","7","5","8","12","21","22","39","21","3"
"EXPERIMENTS IN MIGRATION MAPPING BY COMPUTER","TOBLER, WR","","","","AMERICAN CARTOGRAPHER","APR 1987","1987","14","2","","","","155","163","","10.1559/152304087783875273","","","139","3.97","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","2","7","5","11","6","11","10","14","9","12","12","14","7","9","0"
"PUSH-PULL MIGRATION LAWS","DORIGO, G; TOBLER, W","","","","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","1983","1983","73","1","","","","1","17","","10.1111/j.1467-8306.1983.tb01392.x","","","126","3.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","2","4","0","1","1","4","7","0","2","1","0","0","1","1","0","0","1","1","1","2","0","2","2","4","1","5","1","6","7","10","5","8","12","8","10","8","0"
"GEOGRAPHICAL VARIANCES","MOELLERING, H; TOBLER, W","","","","GEOGRAPHICAL ANALYSIS","1972","1972","4","1","","","","34","50","","","","","125","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","4","1","1","2","1","1","1","0","0","1","2","1","1","0","2","6","0","1","1","2","2","1","0","2","4","5","4","2","4","3","1","0","2","6","3","2","1","3","1","5","7","5","7","6","8","6","0"
"Thirty five years of computer cartograms","Tobler, W","","","","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","MAR 2004","2004","94","1","","","","58","73","","10.1111/j.1467-8306.2004.09401004.x","","","121","6.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","4","2","7","9","8","5","9","7","7","6","13","15","9","6","6","0"
"BIDIMENSIONAL REGRESSION","TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","JUL 1994","1994","26","3","","","","187","212","","","","","94","3.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","6","3","2","2","2","3","1","5","7","3","6","8","1","6","11","10","10","5","1","0"
"GEOGRAPHICAL FILTERS AND THEIR INVERSES","TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","1969","1969","1","3","","","","234","253","","","","","83","1.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","5","3","2","3","3","4","1","3","0","1","0","1","2","0","1","1","0","1","1","2","1","0","0","1","2","0","0","1","0","0","1","2","4","0","1","1","2","2","1","0","1","2","2","1","4","2","2","3","5","3","0"
"A MODEL OF GEOGRAPHICAL MOVEMENT","TOBLER, WR","","","","GEOGRAPHICAL ANALYSIS","1981","1981","13","1","","","","1","20","","10.1111/j.1538-4632.1981.tb00711.x","","","61","1.49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","1","2","1","2","0","0","1","1","4","0","1","1","1","1","0","0","0","0","0","0","1","0","3","3","3","3","0","2","1","1","2","1","1","4","3","2","6","3","0"
