identifier;year;address;city;agglomeration;province;code;country;sub-region;region;continent;latitude;longitude;confidence
WOS:000078178100006;1999;UNIV CALIF SANTA BARBARA, DEPT GEOG, SANTA BARBARA, CA 93106 USA;SANTA-BARBARA;SANTA-BARBARA;CA;US;UNITED-STATES;;Northern America;Americas;34.421;-119.698;SANS_API
WOS:000169681100112;2001;FORD RES LAB, DEARBORN, MI 48121 USA;DEARBORN;DETROIT;MI;CA;UNITED-STATES;;Northern America;Americas;42.322;-83.176;SANS_API
WOS:000169681100113;2001;UNIV MICHIGAN, DEPT MECH ENGN, DEARBORN, MI 48128 USA;DEARBORN;DETROIT;MI;CA;UNITED-STATES;;Northern America;Americas;42.322;-83.176;SANS_API
WOS:000184925600007;2003;FORD MOTOR CO, FORD RES LAB, DEARBORN, MI 48124 USA;DEARBORN;DETROIT;MI;CA;UNITED-STATES;;Northern America;Americas;42.322;-83.176;SANS_API
WOS:000184925600007;2003;UNIV MICHIGAN, DEPT ENGN MECH, DEARBORN, MI 48128 USA;DEARBORN;DETROIT;MI;CA;UNITED-STATES;;Northern America;Americas;42.322;-83.176;SANS_API
WOS:000189291300004;2004;UNIV CALIF SANTA BARBARA, DEPT GEOG, SANTA BARBARA, CA 93106 USA;SANTA-BARBARA;SANTA-BARBARA;CA;US;UNITED-STATES;;Northern America;Americas;34.421;-119.698;SANS_API
WOS:000221906300009;2004;UNIV CALIF SANTA BARBARA, DEPT GEOG, SANTA BARBARA, CA 93106 USA;SANTA-BARBARA;SANTA-BARBARA;CA;US;UNITED-STATES;;Northern America;Americas;34.421;-119.698;SANS_API
WOS:000273942200006;2010;SUNY BUFFALO, DEPT GEOG, BUFFALO, NY 14260 USA;BUFFALO;BUFFALO;NY;US;UNITED-STATES;;Northern America;Americas;42.886;-78.878;SANS_API
WOS:000273942200006;2010;UNIV CALIF SANTA BARBARA, DEPT GEOG, SANTA BARBARA, CA 93106 USA;SANTA-BARBARA;SANTA-BARBARA;CA;US;UNITED-STATES;;Northern America;Americas;34.421;-119.698;SANS_API
WOS:000369149300009;2015;UNIV CALIF SANTA BARBARA, DEPT GEOG, SANTA BARBARA, CA 93106 USA;SANTA-BARBARA;SANTA-BARBARA;CA;US;UNITED-STATES;;Northern America;Americas;34.421;-119.698;SANS_API
WOS:000425064400008;2018;UNIV CALIF SANTA BARBARA, DEPT GEOG, SANTA BARBARA, CA 93106 USA;SANTA-BARBARA;SANTA-BARBARA;CA;US;UNITED-STATES;;Northern America;Americas;34.421;-119.698;SANS_API
WOS:A1966ZH15800011;1966;UNIV MICHIGAN,ANN ARBOR,MI;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1967ZG31500005;1967;UNIV MICHIGAN,DEPT GEOG,ANN ARBOR,MI;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1969Y593300003;1969;UNIV MICHIGAN,ANN ARBOR,MI;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1970Y111500010;1970;UNIV MICHIGAN,ANN ARBOR,MI;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1970Y186900003;1970;UNIV MICHIGAN,ANN ARBOR,MI;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1971Y057300007;1971;UNIV MICHIGAN,ANN ARBOR,MI;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1972Z098900002;1972;UNIV MICHIGAN, ANN ARBOR, MI USA;ANN-ARBOR;ANN-ARBOR;MI;US;UNITED-STATES;;Northern America;Americas;42.271;-83.726;SANS_API
WOS:A1972Z098900002;1972;HIGHWAY SAFETY RES INST, WASHINGTON, DC USA;WASHINGTON;WASHINGTON-BETHESDA;DC;US;UNITED-STATES;;Northern America;Americas;38.895;-77.041;SANS_API
