"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XFHTRUHI","journalArticle","2018","Tobler, W","A new companion for Mercator","CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE","","1523-0406","10.1080/15230406.2017.1308837","","The inappropriate use of the Mercator projection has declined but still occasionally occurs. One method of contrasting the Mercator projection is to present an alternative in the form of an equal area projection. The map projection derived here is thus not simply a pretty Christmas tree ornament: it is instead a complement to Mercator's conformal navigation anamorphose and can be displayed as an alternative. The equations for the new map projection preserve the latitudinal stretching of the Mercator while adjusting the longitudinal spacing. This allows placement of the new map adjacent to that of Mercator. The surface area, while drastically warped, maintains the correct magnitude.","2018","2021-12-15 11:03:11","2021-12-15 11:03:11","","284-285","","3","45","","","","","","","","","","English","","","","WOS:000425064400008","","","","","","","equal area; Map projection; Mercator","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMFNYMTU","journalArticle","2015","Tobler, W","THE CURIOUS CASE OF 21/2 D","QUAESTIONES GEOGRAPHICAE","","0137-477X","10.1515/quageo-2015-0040","","Some geographical phenomena are continuous and exist in whole number dimensions. Topography, for example. Other phenomena, such as population density, depend heavily on the area used in their computation. Some refer to this as existing in 21/2 dimensions. Is the difference just because it is a computed, rather than an observed quantity? I argue the case for considering treatment of discrete geographic data as continuous.","2015-12","2021-12-15 11:03:11","2021-12-15 11:03:11","","85-89","","4","34","","","","","","","","","","English","","","","WOS:000369149300009","","","","","","","continuous; discrete; fractal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BULKVMB","journalArticle","2010","Yoo, EH; Kyriakidis, PC; Tobler, W","Reconstructing Population Density Surfaces from Areal Data: A Comparison of Tobler's Pycnophylactic Interpolation Method and Area-to-Point Kriging","GEOGRAPHICAL ANALYSIS","","0016-7363","10.1111/j.1538-4632.2009.00783.x","","We compare Tobler's pycnophylactic interpolation method with the geostatistical approach of area-to-point kriging for distributing population data collected by areal unit in 18 census tracts in Ann Arbor for 1970 to reconstruct a population density surface. In both methods, (1) the areal data are reproduced when the predicted population density is upscaled; (2) physical boundary conditions are accounted for, if they exist; and (3) inequality constraints, such as the requirement of non-negative point predictions, are satisfied. The results show that when a certain variogram model, that is, the de Wijsian model corresponding to the free-space Green's function of Laplace's equation, is used in the geostatistical approach under the same boundary condition and constraints with Tobler's approach, the predicted population density surfaces are almost identical (up to numerical errors and discretization discrepancies). The implications of these findings are twofold: (1) multiple attribute surfaces can be constructed from areal data using the geostatistical approach, depending on the particular point variogram model adopted-that variogram model need not be the one associated with Tobler's solution and (2) it is the analyst's responsibility to justify whether the smoothness criterion employed in Tobler's approach is relevant to the particular application at hand. A notable advantage of the geostatistical approach over Tobler's is that it allows reporting the uncertainty or reliability of the interpolated values, with critical implications for uncertainty propagation in spatial analysis operations.","2010-01","2021-12-15 11:03:11","2021-12-15 11:03:11","","78-98","","1","42","","","","","","","","","","English","","","","WOS:000273942200006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEB9L5DH","journalArticle","2004","Tobler, W","On the first law of geography: A reply","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","","0004-5608","10.1111/j.1467-8306.2004.09402009.x","","","2004-06","2021-12-15 11:03:11","2021-12-15 11:03:11","","304-310","","2","94","","","","","","","","","","English","","","","WOS:000221906300009","","","","","","","MIGRATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5KGZH7W","journalArticle","2004","Tobler, W","Thirty five years of computer cartograms","ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS","","0004-5608","10.1111/j.1467-8306.2004.09401004.x","","The notion of a cartogram is reviewed. Then, based on a presentation from the 1960s, a direct and simple introduction is given to the design of a computer algorithm for the construction of contiguous value-by-area cartograms. As an example, a table of latitude/longitude to rectangular plane coordinates is included for a cartogram of the United States, along with Tissot's measures for this map projection. This is followed by a short review of the subsequent history of the subject and includes citation of algorithms proposed by others. In contrast to the usual geographic map, the most common use of cartograms is solely for the display and emphasis of a geographic distribution. A second use is in analysis, as a nomograph or problem-solving device similar in use to Mercator's projection, or in the transform-solve-invert paradigm. Recent innovations by computer scientists modify the objective and suggest variation similar to Airy's (1861) ""balance of errors"" idea for map projections.","2004-03","2021-12-15 11:03:11","2021-12-15 11:03:11","","58-73","","1","94","","","","","","","","","","English","","","","WOS:000189291300004","","","","","","","anamorphoses; AREA CARTOGRAMS; cartograms; map distortion; map projections; MAP PROJECTIONS; quasiconformal; TRANSFORMATIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTSVI2YD","journalArticle","2003","Zhang, Y; Zou, Z; Chen, X; Zhang, X; Tobler, W","Simulation and analysis of transmission shift dynamics","INTERNATIONAL JOURNAL OF VEHICLE DESIGN","","0143-3369","10.1504/IJVD.2003.003557","","This paper presents a simulation model for the shift process of vehicle automatic transmissions implemented in an object-oriented software environment. All the subsystems or components in the driveline from the engine to the wheels are integrated into the overall vehicle powertrain model. Standard library models are directly used for some of the common components used in the powertrain such as gears, inertia, clutches, etc. Other components such as the engine, torque converter, shift controller are either developed independently or adopted from existing sources. A 4-speed automatic transmission is used as an example in the paper to illustrate the modelling and simulation. The dynamic behaviour of the transmission in up and down shift processes is simulated by the model under various powertrain operation conditions. The simulation data on shift transmissions such as torque hole, torque overshoot, shift time, etc., are quantitatively analysed for the assessment of shift quality. Shift control variables are adjusted interactively to calibrate the transmission for the best trade off between shift time and smoothness based on model simulation.","2003","2021-12-15 11:03:11","2021-12-15 11:03:11","","273-289","","3-4","32","","","","","","","","","","English","","","","WOS:000184925600007","","","","","","","automatic transmissions; powertrain dynamics; transmission modelling and simulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q53IMFTE","conferencePaper","2001","Zhang, X; Tobler, W; Zhang, Y; Zou, Z","Performance simulation of vehicles equipped with traction drive CVTs","","7-900066-14-4","","","","This paper presents a computer model for the performance simulation of vehicles equipped with traction drive continuously variable transmissions. The model integrates the traction drive CVT subsystem into an existing overall vehicle system. The characteristics of engine output torque are formulated using neural networks, and torque converter is modeled using lookup tables. Component inputs and outputs are coupled in the dynamic equations and interfaces in the, powertrain system. The model simulation can provide evaluations of vehicle performance in driveability, fuel economy and emission levels for various drive ranges prior to the prototyping of the vehicle. As a design tool, the model assists engineers in understanding the effect of powertrain components on vehicle performance and making decisions in the selection of key design parameters. The model is implemented in the Matlab/Simulink environment. The performance simulation of a test vehicle is included in the paper as a numerical example to illustrate the effectiveness of the model.","2001","2021-12-15 11:03:11","2021-12-15 11:03:11","","496-502","","","","","","","","","","","","","English","","","","WOS:000169681100112","","","","","","","CVT; modeling; traction drive; vehicle simulation","","Qin, DT; Chen, XO; Chen, BK; Lin, C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON MECHANICAL TRANSMISSIONS","","","","","","","","","","","","","","",""
"K8RCEQ9Q","conferencePaper","2001","Zhang, Y; Zou, Z; Zhang, X; Tobler, W","Ratio response and stability of traction drive CVT control","","7-900066-14-4","","","","One of the key technical issues in the development of traction drive continuously variable transmissions is the ratio control under various vehicle operation conditions. The control system must provide quick ratio response and stability for vehicle driveability and performance. In this paper, a computer model is presented for the analysis and simulation of traction drive CVT control systems. Stability studies are performed for control systems with single or dual feedbacks. Based on the model simulation, a control strategy with dual feedbacks on both the swing and the translation of the CVT variator is found to be effective and stable. The control model is implemented using Matlab/Simulink block diagrams. The paper includes a numerical example where the ratio response of a traction drive is simulated for a preselected drive range. The simulation results confirm ratio stability and responsiveness for stepped ratio control commands.","2001","2021-12-15 11:03:11","2021-12-15 11:03:11","","503-507","","","","","","","","","","","","","English","","","","WOS:000169681100113","","","","","","","CVT; modeling; simulation; traction drive","","Qin, DT; Chen, XO; Chen, BK; Lin, C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON MECHANICAL TRANSMISSIONS","","","","","","","","","","","","","","",""
"XK8D5RUU","journalArticle","1999","Tobler, W","Linear pycnophylactic reallocation - comment on a paper by D. Martin","INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE","","1365-8816","10.1080/136588199241472","","","1999-01","2021-12-15 11:03:11","2021-12-15 11:03:11","","85-90","","1","13","","","","","","","","","","English","","","","WOS:000078178100006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5L935B9","journalArticle","1997","Tobler, W","Demography in global change studies.","MATHEMATICAL SOCIAL SCIENCES","","0165-4896","","","","1997-02","2021-12-15 11:03:12","2021-12-15 11:03:12","","98-99","","1","33","","","","","","","","","","English","","","","WOS:A1997WX52700011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
